solver,person,dev_true,dev_disturb,gap_true,gap_disturb
carla,p379557,0.0,82.20104111244655,0.0,0.0
carla,p38685,0.0,436.280625145723,0.0,0.0
carla,p389818,0.0,18.48717164533207,0.0,0.0
carla,p392632,0.0,44.196887387578045,0.0,0.0
carla,p396950,0.0,116.04776867967848,0.0,0.0
carla,p397357,0.0,951.8653688178756,0.0,0.0
carla,p410290,0.0,715.8278552902229,0.0,0.0
carla,p418318,0.0,2641.5218785643497,0.0,0.0
carla,p419724,0.0,33.55822219632114,0.0,0.0
carla,p423441,0.0,2365.693587273523,0.0,0.6300522521250969
carla,p63425,0.0,113.09732321457705,0.0,0.0
carla,p7637,0.0,300.252569401574,0.0,0.0
carla,p85062,0.0,284.5585857020383,0.0,0.0
carla,p97880,0.0,268.80943387084164,0.0,0.0
rda,p109343,0.0,252.44041797839145,0.0,0.0
rda,p110348,0.0,563.9649131878923,0.0,2.156911396551095
rda,p11887,22.39983465620935,161.99166484320858,22.39983465620935,22.39983465620935
rda,p122987,0.0,1392.808056881358,0.0,4.820651518529758
rda,p125872,0.0,229.75686355362268,0.0,179.85597769220385
rda,p133262,0.0,151.36152032315886,0.0,0.0
rda,p134964,199.30360529301697,257.2983405296595,199.30360529301697,210.74738258210937
rda,p154376,147.80400189682132,338.7280844598795,147.80400189682132,255.32814359612303
rda,p154588,0.0,28.99111742413152,0.0,0.0
rda,p159425,0.0,155.28886509843687,0.0,54.37080109939052
rda,p166922,0.0,1208.4048225928568,0.0,716.8919407873618
rda,p167155,0.0,56.2551301046733,0.0,0.0
rda,p178403,0.0,90.18698310461788,0.0,0.0
rda,p181274,0.0,64.91946176135843,0.0,0.47382545488289907
rda,p18365,0.0,75.87989902355207,0.0,40.18862473845809
rda,p192929,0.0,181.6273676930564,0.0,0.0
rda,p194150,0.9159881917712482,446.5251389138217,0.9159881917712482,17.29900754389388
rda,p203178,0.0,159.57973678793246,0.0,0.0
rda,p20692,0.0,218.5819545905329,0.0,0.0
rda,p20715,230.16892401319456,504.6613963583409,230.16892401319456,230.16892401319456
rda,p217809,0.0,924.6664028345392,0.0,5.751337175787057
rda,p218601,0.0,108.09743733521373,0.0,0.0
rda,p235649,24.44955233075052,96.06438563613985,24.44955233075052,22.755263681167904
rda,p246675,0.0,47.74323090550388,0.0,0.0
rda,p247238,0.0,285.1324178996301,0.0,0.0
rda,p248931,121.61332816335153,264.4076343552963,121.61332816335153,238.98416740262587
rda,p249927,0.0,164.6708156261907,0.0,0.0
rda,p259105,0.0,5687.449282601576,0.0,4147.577769282134
rda,p266483,0.0,78.0940678879274,0.0,0.0
rda,p271439,47.14868192094946,61.72238372582365,47.14868192094946,10.56933064138866
rda,p272058,27.77732091037251,217.51304093904943,27.77732091037251,179.4014694649804
rda,p272252,0.0,282.582453348336,0.0,0.0
rda,p272946,0.0,109.9996134532023,0.0,14.831806142900305
rda,p284703,164.07329604116512,355.00896493506724,164.07329604116512,87.85223826918696
rda,p284890,0.0,150.51673313803622,0.0,2.893526544137785
rda,p288005,0.0,1120.0252729701028,0.0,1093.521291568737
rda,p290602,162.38453372984236,107.0850910510469,162.38453372984236,43.46459975298313
rda,p303896,0.0,165.55469925933596,0.0,0.0
rda,p313123,0.0,43.77158314283997,0.0,0.0
rda,p317567,0.0,555.121119017787,0.0,12.80326001500248
rda,p319639,0.0,129.45234100812922,0.0,0.0
rda,p325825,0.0,63.72612115906827,0.0,0.0
rda,p330259,85.71147538463993,105.65164464004738,85.71147538463993,59.755285236903546
rda,p332005,0.0,325.2691271417607,0.0,0.0
rda,p343087,0.0,32.77584193900657,0.0,0.0
rda,p347061,0.0,99.66883071412462,0.0,0.0
rda,p350615,0.0,13.465844517690698,0.0,0.0
rda,p35350,0.0,295.1834208818675,0.0,0.0
rda,p353866,0.0,1648.3345265581593,0.0,1501.9285790583326
rda,p369848,0.0,165.45971626311962,0.0,0.0
rda,p377239,29.75314208684472,40.56121551606179,29.75314208684472,20.72240338788015
rda,p379557,0.0,82.20104111244655,0.0,0.0
rda,p38685,0.0,436.4184705249256,0.0,0.13784537920264484
rda,p389818,26.694489066620463,212.12619784419743,26.694489066620463,193.63902619886537
rda,p392632,0.0,44.196887387578045,0.0,0.0
rda,p396950,0.0,164.788658513854,0.0,48.740889834175505
rda,p397357,0.0,1660.8545801414307,0.0,708.9892113235551
rda,p410290,6.512570245262396,15054.49672447284,6.512570245262396,14338.668869182617
rda,p418318,0.0,2645.2885170942563,0.0,3.766638529906686
rda,p419724,34.876336247987524,63.64258560727353,34.876336247987524,30.084363410952392
rda,p423441,0.0,12888.053767550402,0.0,10522.990232529004
rda,p63425,68.10807229199827,699.2303291849914,68.10807229199827,586.1330059704144
rda,p7637,0.0,573.4694394013477,0.0,273.2168699997737
rda,p85062,0.0,610.554810578401,0.0,325.9962248763627
rda,p97880,0.0,1506.9766524012732,0.0,1238.1672185304315
