solver,person,dev_true,dev_disturb,gap_true,gap_disturb
carla,p304996,0.0,222.964212560536,0.0,0.0
carla,p306210,0.0,146.5048461923625,0.0,0.0
carla,p307899,0.0,2.633348916652267,0.0,0.0
carla,p309206,0.0,86.22092159393856,0.0,0.0
carla,p315474,0.0,264.9481111646294,0.0,0.0
carla,p322011,0.0,209.19200060895315,0.0,0.0
carla,p322366,0.0,236.66440194583103,0.0,0.0
carla,p326465,0.0,81.41819338433743,0.0,0.0
carla,p32764,0.0,288.4578415445902,0.0,0.0
carla,p33811,0.0,708.0208427465427,0.0,0.0
carla,p342159,0.0,556.973621784261,0.0,0.0
carla,p343335,0.0,226.22885692879527,0.0,0.0
carla,p351513,0.0,101.4344458037819,0.0,0.0
carla,p363298,0.0,205.81086003310972,0.0,0.0
carla,p369575,0.0,66.94623908789117,0.0,0.0
carla,p37249,0.0,42.86353504777162,0.0,0.0
carla,p386320,0.0,62.57448933005526,0.0,0.0
carla,p386424,0.0,75.6115904658227,0.0,0.0
carla,p387661,0.0,89.26511154825005,0.0,0.0
carla,p392387,0.0,54.01736551810245,0.0,0.0
carla,p40099,0.0,146.88566530571006,0.0,0.0
carla,p401066,0.0,518.2374685660534,0.0,0.0
carla,p409906,0.0,24.631885664871334,0.0,0.0
carla,p416680,82.69497149935387,24.241626007699324,82.69497149935387,0.0
carla,p419936,0.0,51.85821765856781,0.0,0.0
carla,p427124,0.0,20.757316119045758,0.0,0.0
carla,p432240,0.0,116.97174643050948,0.0,0.0
carla,p432933,0.0,122.65594080459164,0.0,0.0
carla,p437288,0.0,63.93225953387355,0.0,0.0
carla,p440523,0.0,40.69302784621868,0.0,0.0
carla,p441456,0.0,175.49399815538163,0.0,0.0
carla,p447134,0.0,119.3227869825671,0.0,0.0
carla,p47160,0.0,68.16920228903155,0.0,0.0
carla,p54265,0.0,364.5026224784961,0.0,0.0
carla,p55170,0.0,87.10111827575156,0.0,0.0
carla,p55817,0.0,286.52306812060806,0.0,0.0
carla,p6606,0.0,201.19710851297964,0.0,0.0
carla,p73130,0.0,164.63953850670305,0.0,0.0
carla,p78709,0.0,36.16231725703835,0.0,0.0
carla,p78886,0.0,235.8511574159761,0.0,0.0
carla,p82115,0.0,51.16242309673373,0.0,0.0
carla,p85723,0.0,113.97965588301122,0.0,0.0
carla,p98233,0.0,535.8203666078414,0.0,0.0
rda,p102032,0.0,93.99064205409012,0.0,0.0
rda,p103602,0.0,125.86619402689804,0.0,50.39589835674134
rda,p104498,22.528415713846695,42.14798245292059,22.528415713846695,7.943165635121659
rda,p110825,3.90608003246598,178.26156178682322,3.90608003246598,44.22132263326421
rda,p120982,37.08436086238362,90.84782129856468,37.08436086238362,12.225586998760278
rda,p121783,5.142368763009472,556.6318763785144,5.142368763009472,338.5294009247484
rda,p134175,60.53227941702448,108.30398275214816,60.53227941702448,63.85477371528941
rda,p142959,0.0,11.061420127870406,0.0,0.0
rda,p157055,0.0,52.2061541619546,0.0,9.54630182372307
rda,p162675,0.0,177.99176896802987,0.0,3.676987176584589
rda,p165963,0.0,92.41839407388612,0.0,0.0
rda,p175986,0.0,160.43896948239126,0.0,0.0
rda,p181100,0.0,64.52577689455029,0.0,0.0
rda,p192642,0.0,297.0665629749737,0.0,0.0
rda,p192698,8.555703193833324,241.2572669103497,8.555703193833324,8.084790918426734
rda,p206668,0.0,25.220297759740102,0.0,0.0
rda,p214113,0.0,70.9583726459955,0.0,0.0
rda,p214161,0.0,1745.2100953435463,0.0,1628.1374487813084
rda,p216051,0.0,145.930881491724,0.0,0.0
rda,p21830,0.0,396.4927414971431,0.0,3.8548129321510487
rda,p22386,0.0,888.8481188084155,0.0,314.8856615221026
rda,p230386,134.4015910510234,296.1295173698144,134.4015910510234,65.84455775231973
rda,p233838,277.397988462988,414.1077489644531,277.397988462988,301.74455608280186
rda,p234616,166.12556770275978,163.8524273555836,166.12556770275978,89.00998625231705
rda,p24706,0.0,43.40860733388672,0.0,0.8207181105130985
