solver,person,dev_true,dev_disturb,gap_true,gap_disturb
carla,u8174,0.0,29.684795577222985,0.0,0.0
rda,r1048371,0.0,1513.961991592012,0.0,1360.3813469435809
rda,r1062520,26.247372266587263,63.95188801626023,26.247372266587263,8.14710317583922
rda,r1096405,0.0,1108.4443713860271,0.0,645.9300101652732
rda,r110739,0.0,29669.987056723246,0.0,28932.76267350144
rda,r231147,261.2494124111236,315.9345792233062,261.2494124111236,247.00580273119158
rda,r318347,0.0,1899.6061871958927,0.0,251.6057061862873
rda,r351663,0.0,3518.23875287996,0.0,3370.37974842255
rda,r374535,0.0,107.59139018966744,0.0,0.0
rda,r413162,57.35102877495956,1103.6942647069254,57.35102877495956,751.5718220565604
rda,r424506,0.0,169.82743925730574,0.0,0.0
rda,r437005,0.0,787.5808314024641,0.0,221.25311698745918
rda,r447812,0.0,223.78988958186528,0.0,0.0
rda,r498274,0.0,67.51203590357545,0.0,0.0
rda,r546128,0.0,26.28000622131458,0.0,0.0
rda,r585692,283.07105159344246,86.43030322395725,283.07105159344246,69.12340086065433
rda,r640227,0.0,646.9793923967172,0.0,0.0
rda,r64840,297.1490657520808,196.80821152368708,297.1490657520808,68.13040178298911
rda,r649147,0.0,233.86312897511837,0.0,0.0
rda,r659661,0.0,109.83019594966116,0.0,54.15700112079138
rda,r670714,0.0,304.1236720912784,0.0,0.0
rda,r711966,0.0,75.33945541637877,0.0,0.0
rda,r761209,0.0,359.9825988688053,0.0,0.0
rda,r762375,25.11543401745439,863.1472819845494,25.11543401745439,33.61850956857597
rda,r768541,0.0,113.6408016612013,0.0,0.0
rda,r79279,0.0,42.76843411619757,0.0,0.0
rda,r822036,430.2617236578353,1187.3102948976016,430.2617236578353,1163.539312920479
rda,r863505,57.9582341947862,70.43141681556153,57.9582341947862,6.255900200914766
rda,r865277,0.0,980.3249498241784,0.0,316.2961160705016
rda,r875697,0.0,111.20852907197876,0.0,0.0
rda,r956519,0.0,191.780627297112,0.0,0.0
rda,u106660,0.0,194.1943431222462,0.0,0.0
rda,u144623,0.0,550.454533644087,0.0,0.0
rda,u146404,172.74393774178316,28.552268304267272,172.74393774178316,3.730776668532144
rda,u170514,0.0,63.93269872019209,0.0,0.0
rda,u187137,0.0,254.70286889821728,0.0,157.60759436891385
rda,u23399,0.0,56.58474199818557,0.0,0.0
rda,u250630,571.2465980396264,591.0085449605467,571.2465980396264,541.7524183536952
rda,u260337,0.0,2658.6654262622824,0.0,6.615896276168769
rda,u29849,0.0,120.4905460681689,0.0,0.0
rda,u326477,0.0,65.96074718974,0.0,0.0
rda,u351724,0.0,1223.1392961687093,0.0,7.1083719337711955
rda,u351793,0.0,207.61887396626764,0.0,0.0
rda,u398647,105.59710529548374,109.43605467470844,105.59710529548374,74.49903608556271
rda,u399210,0.0,195.09040988827456,0.0,1.3567743707999114
rda,u411635,0.0,937.5104863820276,0.0,6.559283422215344
rda,u431597,0.0,19560.532114717367,0.0,18557.158422803022
rda,u449911,0.0,156.90284320517094,0.0,0.0
rda,u456770,0.0,533.0687039518546,0.0,0.0
rda,u462137,0.0,465.3769485058165,0.0,0.0
rda,u527788,0.0,24.458081082835637,0.0,0.0
rda,u59772,0.0,66.15159153929653,0.0,0.0
rda,u8174,86.48532177074867,90.2292769950568,86.48532177074867,60.54448141783381
